
"Reference number","2022-20076839"
"9371","8090463.8"
"9146","1785610"
"9147","2049803.25"
"9145","4092472.84"
"8053","6893953.89"
"8052","4558061.88"
"8123P","11353064.27"
"8072","254965.41"
"284/8","194044.45"
"8073","739118.92"
"1203","57.2"
"1202","4"
"1201","54"
"5801","1"
"67/77","464111.92"
"5802","8"
"5803","7766.97"
